language,genre,lyrics,,Song Name,artist
en,Pop,"Woke up this morning, feeling blue  
Seen a good looking girl, can I make love with you  
Hey, hey, babe, I got blood in my eyes for you  
Hey, hey, babe, I got blood in my eyes for you  
I got blood in my eyes for you, baby  
I don't care what in the world you do.  
  
I went back home, put on my tie  
Gonna get that girl that money will buy  
Hey, hey, babe, I got blood in my eyes for you  
Hey, hey, babe, I got blood in my eyes for you  
I got blood in my eyes for you, baby  
I don't care what in the world you do.  
  
She looked at me, begin to smile  
Said, ""Hey, hey, man, can't you wait a little while?""  
No, no babe, I got blood in my eyes for you  
No, no babe, I got blood in my eyes for you  
Got blood in my eyes for you, baby  
I don't care what in the world you do.  
  
No, no, ma'am, I can't wait  
You got my money, now you're trying to break this date  
Hey, hey, babe, I got blood in my eyes for you  
Hey, hey, babe, I got blood in my eyes for you  
Got blood in my eyes for you, baby  
I don't care what in the world you do.  
  
I'll tell you something, tell you the facts  
You don't want to give my money back  
Hey, hey, babe, I got blood in my eyes for you  
Hey, hey, babe, I got blood in my eyes for you  
I got blood in my eyes for you, baby  
I don't care what in the world you do

",,blood in my eyes,Marianne Faithfull
en,Indie,"Beating with life you promised life,  
Security, happiness.  
Unfortunate son cornered,  
Cowering in the pit of  
Circling panes of glass that  
Surround and reveal the ever present ""It"".  
  
""It"" is my move, my every look,  
Interpreting gestures,  
Informing other  
What's undercover and  
Lurking beneath my mask  
Of this year's featured model.  
Is this too much?  
Close your eyes.  
Care to look inside? I am I!  
  
What may appear  
Might easily be explained,  
But given the situation  
Of info saturation,  
What you feel can never go away.  
  
Steering perception? I am!  
Inviting contradiction? I am!  
It's my insistence  
You keep your distance  
From the glare behind my stare.  
So this is the way  
The game is played.  
You can leave now...  
But I think you'll stay. I am I!

",,i am i,Queensryche
en,R&B,"There's blacks with knives and whites with guns  
fighting in Howard Beach  
There's no such thing as human rights  
when you walk the N.Y. streets  
A cop was shot in the head by a 10 year old kid named Buddah in  
Central Park last week  
The fathers are lined up by  
the coffins by the Statue of Bigotry  
You better hold on something's happening here  
You better hold on---meet you in Tompkins Square  
The dopers sent a message to the cops last weekend  
They shot him in the car where he sat  
And Eleanor Bumpres and Michael Stewart must have appreciated that  
There's a rampaging rage rising up like a plague of bloody vials  
washing up on the beach  
It'll take more than the Angels or Iron Mike Tyson  
to heal this bloody breach  
A junkie ran down a lady a pregnant dancer  
she'll never dance but the baby was saved  
He shot up some China White and nodded out at the wheel  
and he doesn't even remember a thing  
They shot that old lady  
'cause they thought she was a witness  
to a crime she didn't even see  
Whose home is the home of the brave by the Statue of Bigotry  
You got a black .38 and a gravity knife  
You still have to ride the train  
There's the smelly essence of N.Y. down there  
but you ain't no Bernard Goetz  
There's no Mafia lawyer  
to fight in your corner  
for that 15 minutes of fame  
The have and the have nots are bleeding in the tub  
That's New York's future not mine  
Oh you better hold on---something's happening here.  

",,hold on,Lou Reed
en,Country,"Welcome  
In Lucy's Bar  
Hey you gentlemen over there  
Come on closer  
See me play  
The sensational game  
It's the only thing I've got in my life  
And I play it every day  
And, well, believe it or not,  
It's just, pinball  
And for me it's  
Claro Que Si  
Claro Que Si  
  
Come, come close to me  
I tell you man you will see  
I'm like happy tree  
Come close and then you will see  
  
Every ball for me's another game  
For you this always looks the same  
Every ball for me's another game  
For you this always looks the same  
  
Hey you, man you watch me  
Might be right I am a fool  
But man why don't you tell me  
If you know a better tool  
  
All the gates are lit  
This is very good for me  
It's like a kiss  
Watch out man and you will see  
Now all lights are on  
Believe me man that I have won  
I know for you this doesn't look a lot  
For me this is the only thing I got  
  
I really couldn't care less  
If you take me a for a fool  
I know you couldn't show me  
Any better tool  
  
Oy oy oy  
I like my toy  
Claro que si  
Is yes for sure  
Oy oy oy  
I like my toy  
A knack inside  
I win another game  
I press the button and it's not the same

",,pinball cha cha,Yello
en,Country,"I'm your maker  
Mold your mind  
Idea-creator  
Bias from behind  
  
People never wonder  
How the world goes round  
They who care go under  
That's what I'm about  
  
I kill it, kill it, kill it  
Kill it, kill it  
Care must die  
Kill it, kill it, kill it  
What we can't tie  
What we can't buy  
Must die  
  
I'm soul hunter  
Of the might  
Upright hatemonger  
Angel of the blind  
  
People never wonder  
How the world goes round  
They who care go under  
That's what I'm about  
  
I kill it, kill it, kill it  
Kill it, kill it  
Care must die  
Kill it, kill it, kill it  
  
People never wonder  
How the world goes round  
They who know must follow  
They who don't die bound  
  
I pay billions  
All got a price  
Plain corruption  
No roll of the dice  
  
People never wonder  
How the world goes round  
They who care go under  
That's what I'm about  
  
I kill it, kill it, kill it  
Kill it, kill it  
Care must die  
Kill it, kill it, kill it  
What we can't tie  
What we can't buy  
Must die

",,kill it,Helloween
en,Hip-Hop,"Something inside,  
My heart,  
And it feels like magic,  
It's changing my life.  
Since you came to me,  
Everything is so bright I see  
You touched my heart,  
And gave me love so real.  
This time around I wanna let it show  
There's something special,  
In my heart you ought to know  
I feel for you,  
I mean I truly love you  
In my heart and in my soul  
You are my love  
You are my all  
I feel for you  
I mean always love you  
Because to me  
You are a dream  
Come true  
Love grows  
Everyday  
And it's hard to deny it  
You inspire me all the way  
The joy you bring  
Makes my heart keep on singing  
And all I wanna do  
Is to remain close to you  
This time around I wanna let it show  
There's something special  
In my heart you ought to know  
I feel for you  
I mean I truly love you  
In my heart and in my soul  
You are my love you are my all  
I feel for you  
I mean I'll always love you  
Because to me you are a dream  
Come true  
You are my angel in disguise  
You are the reason I survive  
With you each moment is worthwhile  
You make me smile  
And if without you  
Surely I cry  
I feel for you  
I mean I truly love you  
In my heart and in my soul  
You are my love you are my all  
I feel for you  
I mean I'll always love you  
Because to me you are a dream(3x)  
That's what I feel for you...  

",,i feel for you,Kyla
en,Indie,"Tuesday's coming my baby  
I told you Wednesday morning  
It's not too late for us  
My bags aren't out the door baby  
don't you know life's a feeling  
But without you it's nothing  
It's not too late for us  
My bags aren't out the door baby  
Tuesday's coming and  
I'm not gonna leave you here darling  
  
It's a shame you can't hear me  
Scream my lungs out believe me  
The miles burn me up  
I'm living just to watch your fire darling  
I'm headed out for the road now  
The engines hold me while sleeping  
A road might take me away  
But its sure enough to bring me home baby  
Tuesday's coming  
And I'm not gonna leave you here darling  
  
Tuesday's coming.

",,dareh meyod,O.A.R.
en,Rock,"Subways runnin' under the city  
Condos reachin' to the sky  
Each of this own, but I feel at home  
Standing on this mountain high  
  
And right where I am  
Is where I want to be  
It's all I want  
It's all I need  
Forever in your arms  
It's alright with me  
'Cause right where I am's where I want to be  
  
Talk on the cell phone, checkin' her e-mail  
The fax is a way of life  
She's shoppin' at home with QVC on  
And surfin' on-line  
  
And right where I am  
Is where I want to be  
It's all I want  
It's all I need  
Forever in your arms  
It's alright with me  
'Cause right where I am's where I want to be  
  
Satellite feed out in the country  
Oh what a way of life  
Turn off the tv  
Shut down the pc  
And click off the world tonight  
  
And right where I am  
Is where I want to be  
It's all I want  
It's all I need  
Forever in your arms  
It's alright with me  
'Cause right where I am's where I want to be  
  
Yeah  
Right where I am  
Where I want to be  
  
Subways runnin' under the city  
Satellite feed out in the country  
Each to his own I feel at home  
Standin' on this mountain high  
Right where I am  
Right where I am, where I want to be  
Where I want to be

",,right where i am,Alabama
en,Reggae,"Any tough can fight, few can play  
Any tough can fight, few can play  
Any fool can fall, few can lay  
Any fool can fall, few can lay  
Any stud can reproduce, few can please  
Any stud can reproduce, few can please  
Anyone can pay, few can lease  
Anyone can pay, few can lease  
  
It's hard  
It's hard  
(It's a hard, hard hand to hold  
(it's a hard, hard hand to hold  
It's a hard land to control)  
It's a hard land to control)  
  
Any man can claim, few can find  
Any man can claim, few can find  
Any girl can blink, few can lie  
Any girl can blink, few can lie  
Anyone can promise, few can raise  
Anyone can promise, few can raise  
Anyone can try, but a few can stay  
Anyone can try, but a few can stay  
  
Any brain can hide, few can stand  
Any brain can hide, few can stand  
Any kid can fly, few can land  
Any kid can fly, few can land  
Any gang can scatter, few can form  
Any gang can scatter, few can form  
Any kid can chatter, few can inform  
Any kid can chatter, few can inform  
  
It's hard  
It's very, very, very, very hard, so very hard  
It's hard  
It's very, very, very, very hard, so very hard  
  
It's hard  
It's hard  
(It's a hard, hard hand to hold  
(It's a hard, hard hand to hold  
It's a hard land to control)  
It's a hard land to control)  
  
Any soul can sleep, few can die  
Any soul can sleep, few can die  
Any wimp can weep, few can cry  
Any wimp can weep, few can cry  
Everyone complains, few can state  
Everyone complains, few can state  
Anyone can stop, few can wait  
Anyone can stop, few can wait  
  
It's hard  
It's very, very, very, very hard, so very hard  
It's hard  
It's very, very, very, very hard, so very hard  
  
Anyone can do anything if they hold the right card  
Anyone can do anything if they hold the right card  
So, I'm thinking about my life now  
So, I'm thinking about my life now  
I'm thinking very hard  
I'm thinking very hard  
Deal me another hand, Lord, this one's very hard  
Deal me another hand, Lord, this one's very hard  
Deal me another hand, Lord, this one's very hard  
Deal me another hand, Lord, this one's very hard

",,its hard,Who
en,Indie,"Well I heard there was a secret chord  
That David played, and it pleased the lord  
But you don't really care for music, do ya?  
  
Well it goes like this, the fourth, the fifth  
The minor fall and the major lift  
The baffled king composing hallelujah  
  
Hallelujah, hallelujah, hallelujah, hallelujah  
  
Your faith was strong but you needed proof  
You saw her bathing on the roof  
Her beauty and the moonlight overthrew you  
She tied you to a kitchen chair  
She broke your throne, she cut your hair  
And from your lips she drew the hallelujah  
  
Hallelujah, hallelujah, hallelujah, hallelujah  
  
Maybe there's a god above  
All I ever learned from love  
Was how to shoot somebody who outdrew you  
And it's not a cry you can hear at night  
Not somebody who's seen the light  
It's a cold and it's a broken hallelujah  
  
Hallelujah, hallelujah, hallelujah, hallelujah  
  
Hallelujah

",,hallelujah,Justin Timberlake
en,Electronic,"When I come to the dock and sit very still,  
I wonder why on earth we fight and kill.  
I see a light on the other side flickering to me,  
As if to say, you're alright, you'll find your way.  
  
The world is so beautiful when I'm out here,  
Why can't it be the same when we're back there?  
  
Above my head, straight ahead,  
I see a bird gliding  
As if to say, I'm alright, I'll find my way.  
  
Windows are shattered,  
Streets are battered,  
Kids are frightened,  
Men are still at war.  
  
Moms are feeling sad,  
Dads are feeling bad.  
I wanna know, I wanna know  
If the world's gone mad.  
  
Above my head, straight ahead,  
I see a bird gliding  
As if to say, I'm alright, I'll find my way.

",,light on the other side,Yoko Ono
en,Rock,"When I say goodnight in your little room  
Ah, that's the time I love you best of all  
When I say goodnight in your little room  
The shadow of your smile is on the wall  
But I can see the reason, it's just your way of teasin'  
But my, oh, my, my, my, I'll take it all  
When I say goodnight in your little room  
The only place where we can be alone  
When I say goodnight in your little room  
To hold you close this way, you say is wrong  
But I can see no reason, why you should keep on teasin'  
If you don't stop, our love just can't go on  
But I can see no reason, why you should keep on teasin'  
Why can't we let the night just linger on  

",,say goodnight,Engelbert Humperdinck
en,Blues,"First let me say, I know it's late  
Girl I can tell you were sleeping  
So sorry to wake you, but what I'ma say to you tonight  
Girl it just couldn't wait, no, not one more day  
No, not one more hour  
Mmm, we've been a... Some time, you went your way I went mine  
My manhood won't let me cry  
But you act like I'm alright is something I just can't do  
Something I just can't do  
Keep it... That I'm walking without you  
So, something I just can't do  
What if I could, I'm just not strong enough to, whoa  
Not strong enough to who  
Keep lying to you, babe,  
I'm just not strong enough to, girl, girl, girl, girl, girl  
  
I can see you looking at me,  
You're thinking too little too late  
Cause it was me that said that we shouldn't be  
But that was before I could think straight  
My pride, it made me lie, lie, lie  
To you and to myself about what I need  
So now I walk around with this lie, truly dying inside  
Acting like I'm just fine, it's something I just can't do  
Something just I can't do, keep pretending  
That I'm okay without, just said something I just can't do  
Something I just can't do  
What if could I'm just no strong enough to, whoa  
Not strong enough to who  
Keep lying to you, babe,  
I'm just not strong enough to, girl, girl, girl, girl, girl  
  
Said I'm trying to be honest, then making you a promise  
I'm gonna be true to you  
Cause me trying to deny that without you I would die  
Something I just can no longer do  
Said I'm trying to be honest, then making you a promise  
I'm gonna be true to you  
Cause me trying to deny that without you I would die  
Something I just can no longer do  
  
Hey, hey, oho, oho, oho, hey  
Hey, hey, oho, oho, oho, hey

",,not strong enough,Ne-Yo
en,Folk,"You take a piece of me every time you leave  
And never realize the way I feel about you  
But my tongue gets tied and my mouth gets dry  
I wanna tell you but I don't know how to  
  
So every night I dream (I dream)  
Hope and pray and believe  
That someday you'll be mine (I know)  
We'll live in ectascy - the world for you and me  
  
One love - one life  
Everything would be alright if I was your lover  
One soul - one mind  
Everything could be so right if I was your lover  
  
Another day goes by and I'd lose my mind  
If I didn't know that you were meant for me  
Under moonlit night, when the time is right  
You'll hold me in your arms from then on to infinity  
  
And every night I'll dream (I dream)  
Hope and pray and believe  
So happy that you're mine (I know)  
We'll live in ectascy - the world for you and me  
  
One love - one life  
Everything would be alright if I was your lover  
One soul - one mind  
Everything could be so right if I was your lover  

",,if i was your lover,Kylie Minogue
en,Pop,"I wish I could tell you something you didn't know  
I wish I could give you something you didn't owe  
I wish I could tell you a joke to make you smile  
And I could be with you awhile  
  
Just want to be that someone you weren't looking for  
Some nameless fascination that showed up at your door  
And when you're sad and blue my jokes still make you smile  
And I could be with you awhile  
  
I just want to take you somewhere you haven't been  
Find an old time movie where we don't know the end  
Lost in the radio, drive another mile  
So I could be with you awhile  
  
Just want to be that someone you weren't looking for  
Some nameless fascination that showed up at your door  
And when you're sad and blue my jokes still make you smile  
And I could be with you awhile  
  
Tired of serious conversation  
Tangled up in situations  
I feel so free 'cause you want nothing from me  
  
Just want to be that someone you weren't looking for  
Some hopeless vagabond asleep there on your floor  
And when you're old and gray my jokes still make you smile  
And I could be with you awhile  
Just want to be that someone you weren't looking for  
Some nameless fascination that showed up at your door  
And when you're old and gray my jokes still make you smile  
And I could be with you awhile  
I just want to be with you awhile  
I just want to be with you awhile  
I just want to be with you....

",,be with you awhile,Alice Cooper
en,Pop,"Magnolia trees at night  
Sparkling bright  
Fields of cotton look wintery white  
When it's Christmas time  
In New Orleans  
  
A barefoot choir in prayer  
Fills the air  
Mississippi folks  
Are gathering there  
When it's Christmas time  
In New Orleans  
  
You'll see a dixieland Santa Claus  
Leading the band  
To a good old Creole beat  
And golly what a spirit  
You can only hear it  
Down on Basin Street  
Your cares will disappear  
When you hear  
Hallelujah St. Nicholas is here  
When it's Christmas time  
In New Orleans  
  
You'll see  
A dixieland Santa Claus  
Leading the band  
To a good old Creole beat  
And golly what a spirit  
You can only hear it  
Down on Basin Street  
Your cares will disappear  
When you hear  
Hallelujah old St. Nicholas is here  
When it's Christmas time  
In New Orleans  
  
When it's Christmas time in  
It's Christmas time in in New Orleans

",,christmas in new orleans,Louis Armstrong
en,Rock,"I could have been a sailor, could have been a cook  
A real live lover, could have been a book.  
I could have been a signpost, could have been a clock  
As simple as a kettle, steady as a rock.  
I could be  
Here and now  
I would be, I should be  
But how?  
I could have been  
One of these things first  
I could have been  
One of these things first.  
  
I could have been your pillar, could have been your door  
I could have stayed beside you, could have stayed for more.  
Could have been your statue, could have been your friend,  
A whole long lifetime could have been the end.  
I could be yours so true  
I would be, I should be through and through  
I could have been  
One of these things first  
I could have been  
One of these things first.  
  
I could have been a whistle, could have been a flute  
A real live giver, could have been a boot.  
I could have been a signpost, could have been a clock  
As simple as a kettle, steady as a rock.  
I could be even here  
I would be, I should be so near  
I could have been  
One of these things first  
I could have been  
One of these things first.

",,one of these things first,Nick Drake
en,Country,"Ridin' in the drop-top with the top down  
Saw you switchin' lanes, girl  
Pull up to the red light, lookin' right  
Come on, let me get your name, girl  
  
Tell me where your from, what you do, what you like  
Let me get your brain, girl  
And tell me how they that got that pretty little face  
On that pretty little frame girl  
  
But let me show you 'round  
Let me take you out  
Betcha we can have some fun, girl  
'Cause we can it do fast, fast, slow  
  
Which ever way you wanna run, girl  
But let me buy you drinks, better yet rings  
Do it how you want it done, girl  
And who would of thought that you could be the one 'cause I  
  
[Chorus]  
I can't wait to fall in love with you  
You can't wait to fall in love with me  
This just can't be summer love, you'll see  
This just can't be summer love-o-v-e  
  
Come on, and let me show you 'round  
Let me take you out  
Betcha we can have some fun, girl  
'Cause you could dress it up, we could dress it down  
  
Any way you want it done, girl  
Or we can stay home talkin' on the phone  
Rappin' till we see the sun, girl  
Do what I gotta do just gotta show you  
  
That I'm the one, girl  
Well, I'm a freak ya right each and every night  
I know how to do it insane, girl  
'Cause I can make ya hot, make ya stop  
  
Make ya wanna say my name, girl  
Come on, baby, please 'cause I'm on my knees  
Can't get you off my brain, girl  
But who would of thought that you could be the one 'cause I  
  
[Chorus: x2]  
  
Summer's over for the both of us  
(Summer's over)  
But that doesn't mean we should give up on us  
(Don't give up)  
You're the one that I've been thinkin' of  
(You're the one)  
And I knew the day I met you you'd be the one  
  
[Chorus: x2]

",,summer love,Justin Timberlake
en,Country,"We seduce the dark with pain and rapture  
Like two ships that pass in the night  
You and I, a whore and a bashful sailor  
Welcome to a sunrise of a dirty mind  
  
All your love is a lie  
You one-night butterfly  
Hurt me, be the one  
Whoever brings the night  
  
The dark, created to hide the innocent white, the lust of night  
Eyes so bright, seductive lies  
Crimson masquerade where I merely played my part  
Poison dart of desire  
  
All your love is a lie  
You one-night butterfly  
Hurt me, be the one  
Whoever brings the night  
  
Choose a bride tonight  
A fantasy for a zombie  
Hurt me, I love to suffer  
Your harems are dreams for free  
  
Enter  
Suck form us and live for ever  
Rotten beauty  
Will haunt you for a lifetime  
  
Come with me on underwater  
And drown to despise me no more  
Unholy, unworthy  
My night is a dream for free  
  
All your love is a lie  
You one-night butterfly  
Hurt me, be the one  
Whoever brings the night  
All your love is a lie  
You one-night butterfly  
Hurt me, be the one  
  
Whoever brings the night  
Whoever brings the night

",,whoever brings the night,Nightwish
en,Electronic,"You see really I don't  
Give a damn what you may think of me  
(That's right you're a bad ass nigga)  
I'mma do what I'mma do, I'mma say what I'mma say  
(You think you're a bad ass nigga)  
Ya understand what I'm saying?  
Well you better  
  
I was born in these streets  
Raised in these streets  
Walked in these streets  
Taught by these streets  
Lived in these streets  
Hustled in these streets  
Arrested in these streets  
Protected by these streets  
  
Yeah you know I walk  
Through the valley of these streets  
I shall not fear these streets  
Because I run these streets  
  
(Whoa, whoa, whoa, whoa, whoa)  
And I've paid my own dues  
With my own pennies and now  
  
(Chorus)  
I'm a bad man  
I'm not ashamed of  
A bad man yeah  
And don't need your love  
I'm a bad man yeah  
I'm not ashamed of  
I'm a bad man  
My life's made me tough  
  
I've stood on these blocks  
More hood on these blocks  
Got paid on these blocks  
Sprayed on these blocks  
Moved in on these blocks  
Went out on these blocks  
I've been around the block  
Been watched on these blocks  
  
Yeah you know I walk  
Through the valley of these blocks  
I shall not fear these blocks  
Because I run these blocks, yeah  
  
(Whoa, whoa, whoa, whoa, whoa)  
Paid my own dues with my own pennies  
And I'm  
  
[Chorus]  
  
Now I believe the day will come  
When my heart will decide to change  
But until then  
See everything will remain the same  
  
[Chorus]  
  
See sometimes I gotta tell myself  
(I'm a bad man)  
To keep surviving  
And no matter what the cause  
(I'm a bad man)  
I gotta keep on keeping on yeah  
Came up in these streets  
(I'm a bad man)  
There was no father there for me, hey ooh  
(I'm a bad man)  
Cause sometimes we would just have to go without eating  
Hey how you like me now?  
(I'm a bad man)  
Give my life for my brother  
See I'm a bad mother, shut your mouth  
(I'm a bad man)  
Go on, go on, go on, go on

",,bad man,R. Kelly
en,Blues,"Lost  
On a painted sky  
Where the clouds are hung  
For the poet's eye  
You may find him  
If you may find him  
  
There  
On a distant shore  
By the wings of dreams  
Through an open door  
You may know him  
If you may  
  
Be  
As a page that aches for words  
Which speaks on a theme that's timeless  
While the Sun God will make for your day  
Sing  
As a song in search of a voice that is silent  
And the one God will make for your way  
  
And we dance  
To a whispered voice  
Overheard by the sould  
Undertook by the heart  
And you may know it  
If you may know it  
  
While the sand  
Would become the stone  
Which begat the spark  
Turned to living bone  
Holy, holy  
Sanctus, sanctus  
  
Be  
As a page that aches for word  
Which speaks on a theme that is timeless  
While the Sun God will make for your day  
Sing  
As a song in search of a voice that is silent  
And the one God will make for your day

",,be,Neil Diamond
